,open_time,open_price,high_price,low_price,close_price,volume
0,2024-01-19 00:00:00,93.82000000,94.50000000,93.31000000,94.14000000,226977.33000000
1,2024-01-19 01:00:00,94.13000000,94.88000000,93.86000000,94.66000000,160106.38000000
2,2024-01-19 02:00:00,94.66000000,94.80000000,94.08000000,94.40000000,139931.26000000
3,2024-01-19 03:00:00,94.39000000,94.79000000,93.60000000,94.10000000,139131.86000000
4,2024-01-19 04:00:00,94.10000000,94.12000000,92.82000000,93.53000000,217224.11000000
5,2024-01-19 05:00:00,93.53000000,93.76000000,92.35000000,92.55000000,188305.42000000
6,2024-01-19 06:00:00,92.54000000,93.27000000,91.47000000,93.09000000,291150.77000000
7,2024-01-19 07:00:00,93.09000000,94.00000000,92.85000000,93.78000000,119381.23000000
8,2024-01-19 08:00:00,93.78000000,94.42000000,93.44000000,94.06000000,105865.32000000
9,2024-01-19 09:00:00,94.07000000,95.20000000,93.93000000,95.05000000,172086.38000000
10,2024-01-19 10:00:00,95.05000000,95.39000000,94.29000000,94.48000000,133530.21000000
11,2024-01-19 11:00:00,94.49000000,94.79000000,93.83000000,94.60000000,118002.74000000
12,2024-01-19 12:00:00,94.60000000,95.07000000,94.06000000,94.57000000,112620.07000000
13,2024-01-19 13:00:00,94.56000000,95.47000000,94.43000000,95.02000000,134372.32000000
14,2024-01-19 14:00:00,95.01000000,95.21000000,94.38000000,94.78000000,107903.62000000
15,2024-01-19 15:00:00,94.78000000,94.78000000,93.82000000,94.21000000,149720.19000000
16,2024-01-19 16:00:00,94.20000000,94.77000000,93.73000000,94.22000000,183593.45000000
17,2024-01-19 17:00:00,94.23000000,94.30000000,92.30000000,92.69000000,360704.66000000
18,2024-01-19 18:00:00,92.69000000,92.84000000,90.71000000,91.20000000,564572.91000000
19,2024-01-19 19:00:00,91.21000000,91.26000000,87.04000000,88.42000000,1008546.49000000
20,2024-01-19 20:00:00,88.41000000,91.46000000,88.06000000,91.42000000,598144.20000000
21,2024-01-19 21:00:00,91.41000000,93.56000000,90.68000000,93.12000000,583383.43000000
22,2024-01-19 22:00:00,93.11000000,94.73000000,92.60000000,94.12000000,366637.21000000
23,2024-01-19 23:00:00,94.12000000,94.95000000,92.71000000,93.00000000,324666.45000000
24,2024-01-20 00:00:00,92.99000000,93.78000000,92.74000000,93.60000000,176024.35000000
25,2024-01-20 01:00:00,93.60000000,93.73000000,92.82000000,93.44000000,90516.21000000
26,2024-01-20 02:00:00,93.45000000,93.91000000,93.06000000,93.62000000,111359.15000000
27,2024-01-20 03:00:00,93.62000000,93.67000000,92.04000000,92.13000000,149473.09000000
28,2024-01-20 04:00:00,92.13000000,94.27000000,92.06000000,93.85000000,146551.66000000
29,2024-01-20 05:00:00,93.85000000,93.96000000,93.11000000,93.46000000,98806.28000000
30,2024-01-20 06:00:00,93.45000000,93.74000000,93.12000000,93.58000000,76650.20000000
31,2024-01-20 07:00:00,93.59000000,93.69000000,93.01000000,93.06000000,70429.44000000
32,2024-01-20 08:00:00,93.05000000,93.10000000,92.40000000,92.60000000,95835.83000000
33,2024-01-20 09:00:00,92.60000000,93.02000000,91.94000000,92.42000000,144513.23000000
34,2024-01-20 10:00:00,92.42000000,92.63000000,91.68000000,91.90000000,155158.03000000
35,2024-01-20 11:00:00,91.89000000,92.24000000,91.40000000,91.83000000,150570.99000000
